ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
76962090,1754481975,1754481975318,1754481975,1754481975459,0,0,0,1,4,1000,76962090,0,3,0.03,0.0,0.0,3363.55,3370.55,3367.51,0.0,XAUUSD,Robo XAUUSD,ruN21oeVS8FpizNgC
76967898,1754483430,1754483430736,1754483430,1754483430858,0,1,0,1,4,1000,76962090,0,4,0.03,0.0,3363.55,0.0,0.0,3363.55,0.0,XAUUSD,[sl 3363.55],rvP51oS-T8FpeVS8FigthC
77540174,1754628560,1754628560873,1754628561,1754628561011,0,0,0,1,4,1000,77540174,0,3,0.03,0.0,0.0,3381.24,3388.24,3385.33,0.0,XAUUSD,Robo XAUUSD,rbyh7oO8--Fpia_7E
77548407,1754631251,1754631251877,1754631251,1754631251991,0,1,0,1,4,1000,77540174,0,5,0.03,0.0,3388.24,0.0,0.0,3388.24,0.0,XAUUSD,[tp 3388.24],r-dq7obNB_FpO8--Fiz79E
77555177,1754633695,1754633695383,1754633695,1754633695546,0,0,0,1,4,1000,77555177,0,3,0.03,0.0,0.0,3382.22,3387.22,3386.22,0.0,XAUUSD,Robo XAUUSD,rY3v7oRGD_Fpimq_E
77555446,1754633715,1754633715514,1754633715,1754633715639,0,1,0,1,4,1000,77555177,0,5,0.03,0.0,3387.22,0.0,0.0,3387.22,0.0,XAUUSD,[tp 3387.22],rC_v7oyKD_FpRGD_Fi6v_E
77562730,1754635309,1754635309325,1754635309,1754635309478,0,1,0,1,4,1000,77562730,0,3,0.03,0.0,0.0,3400.46,3395.46,3396.5,0.0,XAUUSD,Robo XAUUSD,r1c07oKMF_FpibmBF
77563145,1754635565,1754635565662,1754635565,1754635565797,0,0,0,1,4,1000,77562730,0,5,0.03,0.0,3395.46,0.0,0.0,3395.46,0.0,XAUUSD,[tp 3395.46],rx407oFTF_FpKMF_FikvBF
77565465,1754637354,1754637354704,1754637354,1754637354827,0,1,0,1,4,1000,77565465,0,3,0.03,0.0,0.0,3399.88,3392.88,3395.9,0.0,XAUUSD,Robo XAUUSD,rDC37ox9F_FpinPCF
77570637,1754640162,1754640162156,1754640162,1754640162298,0,0,0,1,4,1000,77565465,0,5,0.03,0.0,3392.88,0.0,0.0,3392.88,0.0,XAUUSD,[tp 3392.88],r2277o9XH_Fpx9F_FiwkDF
77577753,1754643892,1754643892197,1754643892,1754643892351,0,0,0,1,4,1000,77577753,0,3,0.03,0.0,0.0,3390.91,3397.91,3394.91,0.0,XAUUSD,Robo XAUUSD,rB7B8ohWJ_FpiQZFF
77579267,1754644143,1754644143820,1754644143,1754644143953,0,1,0,1,4,1000,77577753,0,4,0.03,0.0,3394.91,0.0,0.0,3394.91,0.0,XAUUSD,[sl 3394.91],r8uC8ozzJ_FphWJ_Fi41FF
77579324,1754644160,1754644160181,1754644160,1754644160329,0,0,0,1,4,1000,77579324,0,3,0.03,0.0,0.0,3391.55,3398.55,3395.55,0.0,XAUUSD,Robo XAUUSD,rnwC8ow0J_Fpiq2FF
77581791,1754645673,1754645673962,1754645674,1754645674119,0,1,0,1,4,1000,77579324,0,4,0.03,0.0,3391.55,0.0,0.0,3391.55,0.0,XAUUSD,[sl 3391.55],rsQE8o3dK_Fpw0J_FitcGF
78016618,1754905791,1754905791889,1754905792,1754905792025,0,0,0,1,4,1000,78016618,0,3,0.03,0.0,0.0,3364.56,3371.56,3368.61,0.0,XAUUSD,Robo XAUUSD,rXtxzo-QLBGpi5cu
78018081,1754906431,1754906431904,1754906432,1754906432044,0,1,0,1,4,1000,78016618,0,4,0.03,0.0,3364.56,0.0,0.0,3364.56,0.0,XAUUSD,[sl 3364.56],rueyzoVtLBGp-QLBGis0u
78300716,1754975831,1754975831803,1754975831,1754975831915,0,0,0,1,4,1000,78300716,0,3,0.03,0.0,0.0,3348.18,3355.18,3352.18,0.0,XAUUSD,Robo XAUUSD,rRj12o8LeCGpiWO7B
78304189,1754977172,1754977172560,1754977172,1754977172718,0,1,0,1,4,1000,78300716,0,4,0.03,0.0,3352.18,0.0,0.0,3352.18,0.0,XAUUSD,[sl 3352.18],r5D42o1JfCGp8LeCGiRH8B
78315676,1754983511,1754983511896,1754983512,1754983512012,0,0,0,1,4,1000,78315676,0,3,0.03,0.0,0.0,3348.49,3355.49,3352.49,0.0,XAUUSD,Robo XAUUSD,rLOA3oQVjCGpiS--B
78318015,1754984442,1754984442694,1754984442,1754984442812,0,1,0,1,4,1000,78315676,0,4,0.03,0.0,3352.49,0.0,0.0,3352.49,0.0,XAUUSD,[sl 3352.49],r_vB3oPAkCGpQVjCGibk_B
78323472,1754987205,1754987205469,1754987205,1754987205619,0,1,0,1,4,1000,78323472,0,3,0.03,0.0,0.0,3357.27,3350.27,3353.27,0.0,XAUUSD,Robo XAUUSD,r41E3oMflCGpi39AC
78327502,1754989060,1754989060577,1754989060,1754989060692,0,0,0,1,4,1000,78323472,0,4,0.03,0.0,3353.27,0.0,0.0,3353.27,0.0,XAUUSD,[sl 3353.27],r2TH3oWnmCGpMflCGi2ACC
78344533,1754992870,1754992870723,1754992870,1754992870843,0,0,0,1,4,1000,78344533,0,3,0.03,0.0,0.0,3342.39,3349.39,3346.39,0.0,XAUUSD,Robo XAUUSD,rYRT3oNWuCGpieaGC
78345994,1754993285,1754993285971,1754993286,1754993286112,0,1,0,1,4,1000,78344533,0,4,0.03,0.0,3346.39,0.0,0.0,3346.39,0.0,XAUUSD,[sl 3346.39],rYGU3ojyuCGpNWuCGil0GC
78652701,1755063093,1755063093493,1755063093,1755063093648,0,1,0,1,4,1000,78652701,0,3,0.03,0.0,0.0,3353.65,3346.65,3349.65,0.0,XAUUSD,Robo XAUUSD,rxH56oV-HEGpiP2ZD
78655170,1755063656,1755063656723,1755063656,1755063656895,0,0,0,1,4,1000,78652701,0,4,0.03,0.0,3353.65,0.0,0.0,3353.65,0.0,XAUUSD,[sl 3353.65],r_m66oeqIEGpV-HEGigcaD
